a : 			eyk
sexology : 	n.##jinsiyaat(f.)
sexual : 		a.##jinsi&nbsp;/&nbsp;SHaehwaani
sexual prowess : 	n.##quuwat e mardumi(f.)&nbsp;/&nbsp;rujuliyat(f.)
sexual desire : 	n.##SHaehwat(f.)
sexological : 	n.##jinsiyaat sey mutaalliq
sexologist : 	n.##maahir e jinsiyat
shabby : 		a.##gandah&nbsp;/&nbsp;faro maayah&nbsp;/&nbsp;KHasiis&nbsp;/&nbsp;mal gija
shack : 		n.##jhuggi
shackle : 	n.##bandhan&nbsp;/&nbsp;hath kaRi&nbsp;/&nbsp;zanjiir
shackle : 	v.t.##hath kaRi lagaana&nbsp;/&nbsp;jakaRna&nbsp;/&nbsp;zanjiir Daalna
shaddock : 	n.##chakotrey ki eyk zaat
shade :           n.##aaR&nbsp;/&nbsp;chhaa'on&nbsp;/&nbsp;par chhaa'in&nbsp;/&nbsp;par tau&nbsp;/&nbsp;saayah
shadow :          n.      par chhaawaan&nbsp;/&nbsp;par chhaa'in&nbsp;/&nbsp;saayah&nbsp;/&nbsp;zil
shadowy : 	a.##mubham
shaft : 		n.##tana
shag : 		n.##ujRey baal
shake : 		v.t.##hilaana&nbsp;/&nbsp;larzaana&nbsp;/&nbsp;phaR phaRaana
shake : 		v.i.##dahelna&nbsp;/&nbsp;hilna&nbsp;/&nbsp;kaanpna&nbsp;/&nbsp;larazna&nbsp;/&nbsp;thar tharaana
shake off : 	v.t.##piichha chuRaana
shake up : 	v.t.##Dhiila karna&nbsp;/&nbsp;hilaana ya milaana&nbsp;/&nbsp;
shaking : 	a.##larazta hu'a&nbsp;/&nbsp;thar tharaata hu'a
shaking : 	n.##laGHziSH&nbsp;/&nbsp;larzah
shallow : 	a.##auchha&nbsp;/&nbsp;chhichhla&nbsp;/&nbsp;chhichhora&nbsp;/&nbsp;halka&nbsp;/&nbsp;hiich&nbsp;/&nbsp;
			kam zarf
sham : 		v.t.##banna&nbsp;/&nbsp;naKHrey dikhaana&nbsp;/&nbsp;
sham : 		a.##jali&nbsp;/&nbsp;makkar&nbsp;/&nbsp;naqli
shame : 		v.i.##nazar churaana&nbsp;/&nbsp;SHarmaana
Shame : 		intj.##phiT
shame :           n.      aar&nbsp;/&nbsp;faziiHat&nbsp;/&nbsp;Haya&nbsp;/&nbsp;jheynp&nbsp;/&nbsp;KHajaalat&nbsp;/&nbsp;laaj&nbsp;/&nbsp;
			leHaaz&nbsp;/&nbsp;nadaamat&nbsp;/&nbsp;nang&nbsp;/&nbsp;paSHeymaani&nbsp;/&nbsp;
			SHarm&nbsp;/&nbsp;SHarmindagi
shameful :        a.      maeHjuub
shameless :       a.##aabru baaKHtah&nbsp;/&nbsp;bey bey nang o naam&nbsp;/&nbsp;baGHaerat&nbsp;/&nbsp;
			Haya&nbsp;/&nbsp;bey SHarm&nbsp;/&nbsp;DhiiT
shamelessly : 	adv.##bey Hayaa'i sey&nbsp;/&nbsp;DhiTaa'i sey
			
shamelessness : 	n.##bey Hayaa'i&nbsp;/&nbsp;bey SHarmi&nbsp;/&nbsp;DhiTaa'i
shank : 		n.##pinDli(f.)&nbsp;/&nbsp;saaq
shape : 		v.t.##Dhaalna&nbsp;/&nbsp;SHakl deyna
shape :           n.##Daul&nbsp;/&nbsp;dhaj&nbsp;/&nbsp;kaaya&nbsp;/&nbsp;paekar&nbsp;/&nbsp;qata&nbsp;/&nbsp;
			saaKHt&nbsp;/&nbsp;SHakl&nbsp;/&nbsp;suurat
shapely : 	a.##chhabiila&nbsp;/&nbsp;siDol
share :           v.t.##baanTna&nbsp;/&nbsp;Hissah karna&nbsp;/&nbsp;paa'on biich meyn hona
share :           n.##baKHra&nbsp;/&nbsp;Hissah&nbsp;/&nbsp;paRta&nbsp;/&nbsp;patti&nbsp;/&nbsp;qismat&nbsp;/&nbsp;saajha
share-holder : 	n.##saajhi
shared :          a.##muSHtarak
sharing :         n.##taqsiim
sharp :           a.      teyz&nbsp;/&nbsp;zaki
sharp tongued : 	n.##tarraar
sharp-witted : 	a.##zehiin
sharpen : 	v.t.##teyz karna
sharpness :       n.      kaaT&nbsp;/&nbsp;kaa'iyaan pan&nbsp;/&nbsp;teyzi
sharpness(sword) : n.     aab
shatter :         v.t.    paaSH paaSH karna&nbsp;/&nbsp;paarah paarah karna&nbsp;/&nbsp;
			phoRna
shattered : 	a.##paaSH paaSH&nbsp;/&nbsp;TukRey TukRey
shave :           n.##Hajaamat
shave : 		v.t.##KHat banaana&nbsp;/&nbsp;muunDna
shawl : 		n.##doSHaalah(m.)
she :             pron.   woh&nbsp;/&nbsp;yeh
sheaf : 		n.##gaDDi(f.)
shear : 		v.t.##kaaTna&nbsp;/&nbsp;katarna
sheath : 		n.##GHelaaf(m.)&nbsp;/&nbsp;KHol(m.)&nbsp;/&nbsp;miyaan(f.)
sheathe : 	v.t.##GHelaaf chaRhaana
sheathed : 	a.##baa niyaam&nbsp;/&nbsp;GHelaaf chaRha
shebang : 	n.##gaaRi&nbsp;/&nbsp;ghar&nbsp;/&nbsp;jhonpRi&nbsp;/&nbsp;kamra&nbsp;/&nbsp;
			maajra&nbsp;/&nbsp;moaamlah
shed : 		v.t.##giraana&nbsp;/&nbsp;utaarna
shed : 		n.##panDaal
sheen : 		a.##chamkiila&nbsp;/&nbsp;KHuub suurat
sheen : 		n.##aab&nbsp;/&nbsp;chamak&nbsp;/&nbsp;raunaq&nbsp;/&nbsp;taabiSH
sheep :  		n.      bheyR
sheer :           a.      sirf
sheet :           n.      chaadar&nbsp;/&nbsp;par chah&nbsp;/&nbsp;warqah
shelf : 		n.##taaqchah
shell : 		n.##chhilka&nbsp;/&nbsp;KHol(m.)&nbsp;/&nbsp;parat(f.)&nbsp;/&nbsp;post
shelter : 	v.t.##aaR karna&nbsp;/&nbsp;panaah deyna
shelter :         n. 	aaR&nbsp;/&nbsp;aas&nbsp;/&nbsp;aasra&nbsp;/&nbsp;baseyra&nbsp;/&nbsp;oT&nbsp;/&nbsp;panaah&nbsp;/&nbsp;pardah&nbsp;/&nbsp;
			saayah
shelve : 		v.t.##Daalna rakhna&nbsp;/&nbsp;taaq par rakhna
shenanigan : 	n.##chaal&nbsp;/&nbsp;kartab
shepherd : 	n.##charwaaha(m.)&nbsp;/&nbsp;gaDariya(m.)&nbsp;/&nbsp;raai(m.)
shibboleth : 	n.##imtiHaan(m.)
shield : 		v.t.##aaRey aana&nbsp;/&nbsp;bachaana&nbsp;/&nbsp;Dhaankna&nbsp;/&nbsp;
			Dhaanpna&nbsp;/&nbsp;Dhankna
shield : 		n.##Dhaal&nbsp;/&nbsp;sipar
shift : 		v.t.##haTaana&nbsp;/&nbsp;khiskaana&nbsp;/&nbsp;phiraana&nbsp;/&nbsp;sarkaana
shift : 		n.##baari&nbsp;/&nbsp;raddah&nbsp;/&nbsp;tabdiili
shine : 		v.t.##chamkaana
shine : 		v.i.##chamakna&nbsp;/&nbsp;chiTakna&nbsp;/&nbsp;jhalakna
shine : 		a.##chamak&nbsp;/&nbsp;ujlaahaT
shining : 	a.##chamkiila&nbsp;/&nbsp;daraKH SHaan&nbsp;/&nbsp;farozaan&nbsp;/&nbsp;
			GHarra&nbsp;/&nbsp;kundan&nbsp;/&nbsp;raKH SHaan&nbsp;/&nbsp;roSHan&nbsp;/&nbsp;saaqib&nbsp;/&nbsp;
			taabindah&nbsp;/&nbsp;ujla(m.)&nbsp;/&nbsp;ujli(f.)
shining brightly : a.##saaqib
ship :            n.##jahaaz(m.)&nbsp;/&nbsp;kaSHti(f.)&nbsp;/&nbsp;markab(m.)&nbsp;/&nbsp;naa'o(f.)&nbsp;/&nbsp;
			safiinah(m.)
ship : 		v.t.##bheyjna&nbsp;/&nbsp;rawaana karna
ship builder : 	n.##jahaaz saaz
shipping : 	n.##Hamal&nbsp;/&nbsp;jahaaz raani
shipman : 	n.##mallaaH&nbsp;/&nbsp;naa KHuda
shipment : 	n.##kheyp
shirk : 		v.t.##aaj kal karna&nbsp;/&nbsp;bahaanah karna&nbsp;/&nbsp;
			jii churana&nbsp;/&nbsp;paehlu tihi karna
shirt :           n.##kurta&nbsp;/&nbsp;qamiiz
shiver : 		v.i.##larazna&nbsp;/&nbsp;kaanpna&nbsp;/&nbsp;phuraeri leyna&nbsp;/&nbsp;
			thar tharaana
shiver : 		n.##phuraeri
shivering fit : 	n.##jaaRa chaRhna
shoal : 		n.##machhliyon ka garoh&nbsp;/&nbsp;jhurmuT
shoal : 		a.##chichhla
shock :           n.##dhachka(m.)&nbsp;/&nbsp;sadmah(m.)
shod : 		a.##nal daar
shoddy : 		a.##bey huudah&nbsp;/&nbsp;ghaTiya&nbsp;/&nbsp;naqli
shoddily : 	adv.##ghaTiya tariiqey sey
shoddiness : 	n.##ghaTiya pan(m.)
shoe :            n.      juuta&nbsp;/&nbsp;juuti(dim.)&nbsp;/&nbsp;paa poSH
shoeblack : 	a.##juutey chamkaaney waala
shoelace : 	a.##juutey ka tasmah
shoemaker : 	n.##juft saaz(m.)&nbsp;/&nbsp;mochi(m.)
shoe-making : 	n.##juft saazi(f.)
shook up : 	a.##dar ham&nbsp;/&nbsp;daehla hu'a&nbsp;/&nbsp;hila hu'a 
shoot : 		v.t.##chhoRna&nbsp;/&nbsp;goli maarna&nbsp;/&nbsp;nikalna
shoot : 		v.i.##lagna
shoot : 		n.##ankhwa&nbsp;/&nbsp;SHikaar
shooting-platform : n.##machaan
shop :            v.t&nbsp;/&nbsp;i.##KHariidna&nbsp;/&nbsp;KHariidaari karna&nbsp;/&nbsp;
			sauda suluuf karna
shop :            n.      dukaan&nbsp;/&nbsp;kaar KHaanah
shopper : 	a.##gaahak&nbsp;/&nbsp;KHariid kaar
shopkeeper :      n.      banya&nbsp;/&nbsp;dukaan daar
shoplifter : 	n.##dukaan chor
shopping :        n.##KHariid o faroKHt&nbsp;/&nbsp;KHariidaari&nbsp;/&nbsp;sauda suluuf
shopping bag : 	n.##KHariidari thaela
shop-worn : 	n.##ghisey piTey alfaaz
shore :           n.      kinaarah&nbsp;/&nbsp;lab&nbsp;/&nbsp;saaHil
shore : 		n.##aasra&nbsp;/&nbsp;sahaara&nbsp;/&nbsp;Teyk&nbsp;/&nbsp;Teykan
short :           a.      chhoTa&nbsp;/&nbsp;kotaah&nbsp;/&nbsp;muKHtasar&nbsp;/&nbsp;
			past qaamat
			
short : 		adv.##achaanak&nbsp;/&nbsp;yak dam
short : 		v.t.##dhoka deyna
short in height : a.##baaliSHtiya(m.)&nbsp;/&nbsp;pastah qad(m.)
short sighted :   a.      aaqibat naa andeySH
short story :     n.      afsaanah
short term : 		muKHtasar ul muddati
shortage : 	n.##fuqdaan&nbsp;/&nbsp;kami(f.)&nbsp;/&nbsp;qaHet(m.)&nbsp;/&nbsp;qillat
shortchange : 	v.t.##dhak deyna&nbsp;/&nbsp;dhoka deyna
shortcoming : 	n.##kami&nbsp;/&nbsp;KHaami&nbsp;/&nbsp;KHaraabi&nbsp;/&nbsp;nuqs
shortcut : 	n.##aasaan raah&nbsp;/&nbsp;chhoTa raastah
shorten : 	v.t.##chhoTa karna&nbsp;/&nbsp;ghaTa deyna&nbsp;/&nbsp;muKHtasar karna
shorten : 	v.i.##ghaTna&nbsp;/&nbsp;kam hona
shortly : 	adv.##jald hi&nbsp;/&nbsp;muKHtasaran
shortness : 	n.##chhoTa pan&nbsp;/&nbsp;iKHtesaar&nbsp;/&nbsp;tangi
shortish : 	a.##chhoTa sa&nbsp;/&nbsp;nannha sa&nbsp;/&nbsp;zara sa
shot : 		n.##baari&nbsp;/&nbsp;dhamaaka&nbsp;/&nbsp;goli&nbsp;/&nbsp;niSHaanchi&nbsp;/&nbsp;kaar tuus
small shot : 	n.##chharra(m.)
should : 		aux.v.##chaahi'ey
shoulder : 	n.##SHaanah
shoulder to shoulder : 	SHaanah bah SHaanah
shout :           v.t&nbsp;/&nbsp;i.##aawaaz deyna&nbsp;/&nbsp;aawaaz lagaana&nbsp;/&nbsp;chiiKHna&nbsp;/&nbsp;
			DapaTna&nbsp;/&nbsp;lalkaarna
shout : 		n.##chiiKH&nbsp;/&nbsp;kilkaari&nbsp;/&nbsp;lalkaar&nbsp;/&nbsp;pukaar
shove :           v.t.##dhakeylna&nbsp;/&nbsp;Theylna
shove : 		n.##dhakka(m.)&nbsp;/&nbsp;zor(m.)
shovel : 		n.##beylchah
show :            v.t.##dikhaana&nbsp;/&nbsp;nikaalna&nbsp;/&nbsp;peySH karna&nbsp;/&nbsp;zaahir karna
show :            v.i.##dikhna&nbsp;/&nbsp;jalwah dikhaana&nbsp;/&nbsp;nazar aana
show :            n.##aab taab&nbsp;/&nbsp;dikhaawa&nbsp;/&nbsp;jalwah dikhaa'i&nbsp;/&nbsp;namuud&nbsp;/&nbsp;
			numaa'iSH&nbsp;/&nbsp;tamaaSHa&nbsp;/&nbsp;tum taraaq&nbsp;/&nbsp;zaahir daari
show airs : 	v.t.##naKHrey dikhaana
show off : 	n.##dikhaawa&nbsp;/&nbsp;SHeyKHi baaz
show off : 	v.t.##SHeyKHi baghaarna
shower : 		n.##chhiinTa&nbsp;/&nbsp;fauwaarah&nbsp;/&nbsp;halki baariSH
shower : 		v.t.##nichhaawar karna
showiness : 	n.##rangiini(f.)
showing :         n.      dikhaa'i&nbsp;/&nbsp;numaa'iSH
showingly : 	adv.##uupar uupar sey
showdown : 	n.##aamna saamna&nbsp;/&nbsp;baa hami Takraa'o
showman : 	n.##tamaaSHah kaar
showy : 		n.##bhaRkiila&nbsp;/&nbsp;chhichhora&nbsp;/&nbsp;dikhaawaTi&nbsp;/&nbsp;duna saaz&nbsp;/&nbsp;
			kaj kalaah&nbsp;/&nbsp;numaa'iSHi&nbsp;/&nbsp;rang daar&nbsp;/&nbsp;zaahir daar
shrewd : 		a.##ghaag&nbsp;/&nbsp;pakka&nbsp;/&nbsp;siyaana&nbsp;/&nbsp;zehiin
shrewdness : 	n.##zehaanat
shriek : 		n.##chiiKH pukaar
shriek : 		v.t.##chiiKHna&nbsp;/&nbsp;chil chilaana&nbsp;/&nbsp;kuukna
shrift : 		n.##nijaat
shrill : 		n.##kaTeyli&nbsp;/&nbsp;teykhi&nbsp;/&nbsp;teyz
shrimp : 		n.##bauna&nbsp;/&nbsp;podna&nbsp;/&nbsp;jhiinga machhli
shrine :          n.##dar gaah&nbsp;/&nbsp;mazaar
shrink : 		v.t.##pichkaana&nbsp;/&nbsp;sukeyRna
shrink : 		v.i.##ghaTna&nbsp;/&nbsp;pichakna&nbsp;/&nbsp;simaTna&nbsp;/&nbsp;sukaRna
shrivel : 	v.i.##simaTna
shrivelled : 	a.##suukha
shroud :          n.      kafan
shrub :           n.      pauda&nbsp;/&nbsp;jhaaRi
shrug : 		v.t.##kandh uchkaana
shrug off : 		nazar andaaz karna&nbsp;/&nbsp;parwaah nah karna
shuck : 		n.##aKHroT ka chhilka(m.)
shudder : 	v.i.##kap kapaana&nbsp;/&nbsp;phuraeri leyna
shudder : 	n.##phuraeri
shuffle : 	v.t.##gaD maD karna
shun : 		v.t.##jaan bachaana&nbsp;/&nbsp;khichna&nbsp;/&nbsp;panaah maangna
shut :            a.      band
shut :            v.t.##band karna&nbsp;/&nbsp;paaTna
shutdown : 	a.##apni lapeyt meyn ley leyna&nbsp;/&nbsp;chhha jaana&nbsp;/&nbsp;
			Dahk leyna
shut out : 	a.##alaaHedah
shutter : 	n.##palla&nbsp;/&nbsp;paT
shy : 		a.##lajiila&nbsp;/&nbsp;SHarmiila(m.)&nbsp;/&nbsp;SHarmiili(f.)
shyer : 		n.##jheynpu&nbsp;/&nbsp;SHarmiila
shyly : 		adv.##jheynptey hu'ey
Shylock : 	n.##saffaak aur sang dil suud KHor
 
shyness : 	n.##Haya(f.)&nbsp;/&nbsp;jheynp&nbsp;/&nbsp;jhijhak&nbsp;/&nbsp;leHaaz&nbsp;/&nbsp;
			SHarm(f.)
sibilant : 	a.##safiiri&nbsp;/&nbsp;siskaari
sick :            a.##bey zaar&nbsp;/&nbsp;biimaar
sickened : 	a.##biimaar kya hu'a&nbsp;/&nbsp;uktaaya
sickeningly : 	adv.##uktaahaT sey
sickle : 		n.##daraanti&nbsp;/&nbsp;hansiya
sickness :        n.##biimaari&nbsp;/&nbsp;kasaala&nbsp;/&nbsp;kasl&nbsp;/&nbsp;KHastahgi&nbsp;/&nbsp;
			marz&nbsp;/&nbsp;rog
sickly : 		a.##bii maar&nbsp;/&nbsp;kam zor&nbsp;/&nbsp;niDhaal&nbsp;/&nbsp;paZ murdah&nbsp;/&nbsp;rogi
side :            n.##alang&nbsp;/&nbsp;baGHal&nbsp;/&nbsp;goSHah&nbsp;/&nbsp;jaanib&nbsp;/&nbsp;janbah&nbsp;/&nbsp;kanni&nbsp;/&nbsp;
			kinaarah&nbsp;/&nbsp;kona&nbsp;/&nbsp;paehlu&nbsp;/&nbsp;ruKH&nbsp;/&nbsp;samt&nbsp;/&nbsp;su&nbsp;/&nbsp;taraf
side by side : 		SHaanah bah SHaanah
side : 		v.t.##Hemaayet karna&nbsp;/&nbsp;taraf daari karna
side with : 		leHaaz karna
side effects : 	n.##zimni asraat
side kick : 	n.##gaehra yaar&nbsp;/&nbsp;har dam ka saathi&nbsp;/&nbsp;langoTiya 
sideswipe : 	a.##naGHli zarb
sidle : 		v.i.##dubak kar chalna
sidle : 		n.##tirchhi chaal
siege : 		n.##gheyra&nbsp;/&nbsp;Hisaar&nbsp;/&nbsp;mohaasara&nbsp;/&nbsp;naakah bandi
sierra : 		n.##pahaaRi silsilah
siesta : 		n.##qaeluulah
sieve : 		n.##chhalni
siffle : 		v.i.##siiTi bajna&nbsp;/&nbsp;sun sunaana
sift : 		v.t.##chhaanna&nbsp;/&nbsp;chhaan biin karna
sift(grain) : 	v.t.##pachhoRna&nbsp;/&nbsp;phaTakna
sifting : 	n.##phaTkan
sigh :            v.t.##aaheyn nikalna&nbsp;/&nbsp;saans bharna&nbsp;/&nbsp;siski bharna
sigh :            n.      aah(f.)&nbsp;/&nbsp;haa'ey(f.)&nbsp;/&nbsp;saans(f.)
sight :           n.##basar&nbsp;/&nbsp;diidaar&nbsp;/&nbsp;manzar&nbsp;/&nbsp;muSHaahidah&nbsp;/&nbsp;
			nazar&nbsp;/&nbsp;nazzaarah&nbsp;/&nbsp;nigaah&nbsp;/&nbsp;numaa'iSH
sign :            n.      alaamat&nbsp;/&nbsp;asar&nbsp;/&nbsp;dalaalat&nbsp;/&nbsp;iima&nbsp;/&nbsp;iSHaarah&nbsp;/&nbsp;niSHaan&nbsp;/&nbsp;
			niSHaani&nbsp;/&nbsp;patah&nbsp;/&nbsp;paehchaan&nbsp;/&nbsp;suraaGH(m.)
signs : 		n.##aasaar
signal :          n.      iSHaarah&nbsp;/&nbsp;niSHaan
signature : 	n.##dast KHat&nbsp;/&nbsp;imza
signatory : 	n.##dast KHat karney waala
signet : 		n.##chhoTi mohar&nbsp;/&nbsp;mundri
signify : 	v.t.##iSHaarah karna&nbsp;/&nbsp;matlab banna
significance :    n.      mani
significant : 	a.##aehm&nbsp;/&nbsp;mani KHeyz
significaion : 	n.##aehmiyat&nbsp;/&nbsp;mafhuum&nbsp;/&nbsp;muraad
silence : 	v.t.##chup karaana&nbsp;/&nbsp;KHaamoSH karna&nbsp;/&nbsp;qaa'el karna
silence : 	intj	KHaa moSH
silence :         n.##KHaa moSHi&nbsp;/&nbsp;sannaaTa&nbsp;/&nbsp;sukuut
silenced : 	a.##laa jawaab
silencing : 	a.##qaate
silent :          a.##chup&nbsp;/&nbsp;gum sum&nbsp;/&nbsp;KHaa moSH&nbsp;/&nbsp;patthar&nbsp;/&nbsp;saakit
silently : 	adv.##andar hi andar&nbsp;/&nbsp;chup chaap&nbsp;/&nbsp;KHaamoSHi sey
silhouette : 	n.##aadha chehra
silk :            n.##Hariir(m.)&nbsp;/&nbsp;reySHam(f.)
silken :          a.##reySHmi
silky : 		a.##chikna&nbsp;/&nbsp;naazuk&nbsp;/&nbsp;reySHmi
silly : 		a.##bachkaana&nbsp;/&nbsp;buddhu&nbsp;/&nbsp;paagal&nbsp;/&nbsp;pagloT
silt : 		v.t.##gaad sey bhar jaana
silver :          n.      chaandi&nbsp;/&nbsp;nuqrah&nbsp;/&nbsp;siim
silver-foil : 	n.      chaandi ka waraq
silver-leaf : 	n.      chaandi ka waraq
silvery : 	a.      burraaq&nbsp;/&nbsp;nuqrah'i&nbsp;/&nbsp;rupaehla&nbsp;/&nbsp;siimiin
simian : 		n.##bandar jaesa
similar :         a.##ham SHakl&nbsp;/&nbsp;jaesa&nbsp;/&nbsp;maanind&nbsp;/&nbsp;misl&nbsp;/&nbsp;mutaabiq&nbsp;/&nbsp;
			yaksaan
similarity : 	n.##SHabaahat(f.)
simile :          a.##taSHbiih(f.)&nbsp;/&nbsp;misaal(f.)
similitude : 	n.##misaal(f.)&nbsp;/&nbsp;muSHaabehat(f.)
simmer :          v.i.    halkey halkey ubalna&nbsp;/&nbsp;sansanaana
simmering : 	n.##sansanaahaT(f.)
simper : 		v.i.##muskuraana
simper : 		n.##khisyaa'i hansi
simple :          a.      aam faehm&nbsp;/&nbsp;fariSHtah&nbsp;/&nbsp;kora&nbsp;/&nbsp;neyk&nbsp;/&nbsp;saadah&nbsp;/&nbsp;
			saliis&nbsp;/&nbsp;siidha
simpleton : 	n.##gaa'udi&nbsp;/&nbsp;ponga&nbsp;/&nbsp;saadah lauH
simplicity :      n.      bey saaKHtahgi&nbsp;/&nbsp;saadah pan&nbsp;/&nbsp;saadgi&nbsp;/&nbsp;salaasat
simply : 		adv.##faqat
simulacrum : 	n.##namuud naak&nbsp;/&nbsp;suuraat e KHayaali
simultaneous : 	a.##bayak waqt&nbsp;/&nbsp;ham zamaan
simultaneously : 	adv.##saath hi saath
simulation : 	a.##banaawaT&nbsp;/&nbsp;behruup&nbsp;/&nbsp;jal saazi&nbsp;/&nbsp;naql
sin :             n.##azaab&nbsp;/&nbsp;isyaan&nbsp;/&nbsp;fisq&nbsp;/&nbsp;gunaah&nbsp;/&nbsp;jurm&nbsp;/&nbsp;
			paap&nbsp;/&nbsp;qusuur
since :           conj.##chuun keh&nbsp;/&nbsp;jab sey
sincere :         a.##aadil&nbsp;/&nbsp;bey riya&nbsp;/&nbsp;KHaer andeySH&nbsp;/&nbsp;muKHlis&nbsp;/&nbsp;pakka&nbsp;/&nbsp;
			raasiKH&nbsp;/&nbsp;saadah&nbsp;/&nbsp;sachcha&nbsp;/&nbsp;wafa daar
sincerely : 	adv.##bey riyaa'i sey&nbsp;/&nbsp;muKHlis sey&nbsp;/&nbsp;sidq e dil sey
sincerity :       n.##bey riyaa'i&nbsp;/&nbsp;eKHlaas&nbsp;/&nbsp;KHuluus&nbsp;/&nbsp;muKHlisi&nbsp;/&nbsp;saadgi&nbsp;/&nbsp;
			sidq e dil 
sinew : 		n.##rag(f.)
sinful : 		a.##faajir(m.)&nbsp;/&nbsp;faajirah(f.)&nbsp;/&nbsp;gunaah gaar&nbsp;/&nbsp;
			siyaah kaar
sing : 		v.t.##gaana gaana
singing : 	n.##gaana&nbsp;/&nbsp;tarannum
singe : 		v.t.##jhulsaana
singer : 		n.##gawa'iya&nbsp;/&nbsp;muGHni
single :          a.##akeyla&nbsp;/&nbsp;chhaRa&nbsp;/&nbsp;GHaer SHaadi SHudah&nbsp;/&nbsp;mujarrad&nbsp;/&nbsp;
			munfarid&nbsp;/&nbsp;phuT&nbsp;/&nbsp;phuTkal&nbsp;/&nbsp;phuTkar&nbsp;/&nbsp;tanha&nbsp;/&nbsp;
			waaHid&nbsp;/&nbsp;yagaanah&nbsp;/&nbsp;yakta
singly : 		adv.##fardan fardan
                
singular :        a.##anokha&nbsp;/&nbsp;GHaer mamuuli&nbsp;/&nbsp;naadir&nbsp;/&nbsp;tanha&nbsp;/&nbsp;waaHid&nbsp;/&nbsp;
			yagaanah
singularity : 	n.##nudrat(f.)&nbsp;/&nbsp;waeHdaaniyat(f.)
Sinic : 		a.##chiini
sink : 		v.t.##Dubona&nbsp;/&nbsp;gaaRna
sink :            v.i.##baeThna&nbsp;/&nbsp;Duubna&nbsp;/&nbsp;gaRna
sinkhole : 	n.##gaRha(m.)
sinner :          n.##aasi&nbsp;/&nbsp;aasim&nbsp;/&nbsp;faajir(m.)&nbsp;/&nbsp;faajirah(f.)&nbsp;/&nbsp;faasiq&nbsp;/&nbsp;
			gunaah gaar&nbsp;/&nbsp;paapi
sip : 		v.t.##chuski leyna&nbsp;/&nbsp;chuski ley kar piina
sip : 		n.##chuski
sir : 		intj.##Hazrat&nbsp;/&nbsp;janaab&nbsp;/&nbsp;saaHab
sirocco : 	n.##samuum
sister :          n.##bahen&nbsp;/&nbsp;ham SHiirah&nbsp;/&nbsp;KHwaahar
sit :             v.i.##baeThna&nbsp;/&nbsp;daraaz hona&nbsp;/&nbsp;paRna&nbsp;/&nbsp;taSHriif
sit in : 		n.##dharna
sitting :         a.##naSHiin
sitting : 	n.##baeThak
situated :        a.##waaqe
situation :       n.##Haal(m.)&nbsp;/&nbsp;kaefiyat(f.)&nbsp;/&nbsp;mauqah(m.)&nbsp;/&nbsp;
			suurat e Haal(f.)&nbsp;/&nbsp;waza(f.)&nbsp;/&nbsp;zabaan e Haal(m.)
six : 		n.##chheh&nbsp;/&nbsp;SHaSH
sixteen : 	n.##solah
sixteenth : 	n.##solhwaan
sixth : 		a.##chhaTa&nbsp;/&nbsp;SHaSHum
size :            n.##Diil&nbsp;/&nbsp;naap&nbsp;/&nbsp;qad
sizable : 	a.##KHasa baRa
skein : 		n.##aanTi&nbsp;/&nbsp;gola&nbsp;/&nbsp;gutthi&nbsp;/&nbsp;lachha
skeleton : 	n.##Dhaancha&nbsp;/&nbsp;panjar(m.)&nbsp;/&nbsp;haaR&nbsp;/&nbsp;haekal(m.)
skeet : 		v.t.##teyz Harkat karna
sketch :          n.##heywla&nbsp;/&nbsp;KHaakah&nbsp;/&nbsp;naqSHah
sketch :          v.t.##KHaakah banaana&nbsp;/&nbsp;taraH uRaana&nbsp;/&nbsp;taswiir banaana
sketchy : 	a.##naaqis&nbsp;/&nbsp;satHi
skewer : 		n.##siiKH(f.)
skiff : 		n.##Dongi(f.)
skill :           n.##daKHl&nbsp;/&nbsp;Hikmat&nbsp;/&nbsp;Hirfat&nbsp;/&nbsp;hunar&nbsp;/&nbsp;jugat&nbsp;/&nbsp;kaari gari&nbsp;/&nbsp;
			kartab&nbsp;/&nbsp;kasab&nbsp;/&nbsp;leyaaqat&nbsp;/&nbsp;mahaarat&nbsp;/&nbsp;saliiqah
skilled :         a.##Haawi&nbsp;/&nbsp;laa'eq&nbsp;/&nbsp;maahir&nbsp;/&nbsp;sughaR
skillfull : 	a.##saliiqah mand&nbsp;/&nbsp;sughaR
skillfulness : 	n.##sughRaapa
skillet : 	n.##tawa
skimp : 		v.t.##naa kaafi&nbsp;/&nbsp;qaliil
skin : 		v.t.##chamRi udheyRna&nbsp;/&nbsp;khaal utaarna
skin :            n.##chamRa&nbsp;/&nbsp;chhilka&nbsp;/&nbsp;chirm&nbsp;/&nbsp;jild&nbsp;/&nbsp;khaal&nbsp;/&nbsp;post
skinny : 		a.##jildi&nbsp;/&nbsp;laaGHir&nbsp;/&nbsp;naHiif
skip : 		v.i.##kuudna&nbsp;/&nbsp;phudakna
skirmish : 	n.##haatha paa'i&nbsp;/&nbsp;jhaRap&nbsp;/&nbsp;laR jhagaR
skirt :           n.##daaman&nbsp;/&nbsp;palley&nbsp;/&nbsp;saayah
skittish : 	a.##Dag mag&nbsp;/&nbsp;subuk sar
skull : 		n.##kaasah e sar&nbsp;/&nbsp;khopRi
